num;coord_x;coord_y
290;334421.611;1220331
291;334417.548;1220330
292;334413.409;1220329
293;334409.397;1220328
294;334405.205;1220327
295;334401.112;1220326
296;334396.985;1220325
297;334392.775;1220324
298;334388.747;1220323
299;334384.612;1220323
300;334380.509;1220322
301;334376.282;1220321
302;334372.272;1220320
303;334368.095;1220319
304;334363.999;1220318
305;334359.919;1220317
306;334355.728;1220317
307;334351.529;1220316
308;334347.456;1220315
309;334343.337;1220314
310;334339.185;1220313
311;334334.964;1220312
312;334330.930;1220311
313;334326.789;1220311
314;334322.658;1220310
315;334318.597;1220309
316;334314.404;1220308
317;334310.240;1220307
318;334306.150;1220307
319;334302.064;1220306
320;334297.894;1220305
321;334293.866;1220304
322;334289.673;1220303
323;334285.578;1220302
324;334281.470;1220301
325;334277.303;1220300
326;334273.283;1220299
327;334269.108;1220298
328;334264.950;1220297
329;334260.949;1220296
330;334256.799;1220296
331;334252.624;1220295
332;334248.449;1220294
333;334244.308;1220293
334;334240.133;1220292
335;334236.174;1220291
336;334232.015;1220290
337;334227.858;1220289
338;334223.700;1220288
339;334219.559;1220288
340;334215.601;1220287
341;334211.477;1220286
342;334207.353;1220285
343;334203.230;1220284
344;334199.106;1220283
345;334194.982;1220282
346;334190.894;1220281
347;334186.770;1220280
348;334182.663;1220279
349;334178.557;1220278
350;334174.451;1220277
351;334170.362;1220277
352;334166.274;1220276
353;334162.167;1220275
354;334157.976;1220274
355;334153.842;1220273
356;334149.770;1220272
357;334145.698;1220271
358;334141.580;1220270
359;334137.407;1220269
360;334133.354;1220268
361;334129.160;1220267
362;334125.075;1220267
363;334120.861;1220266
364;334116.778;1220265
365;334112.530;1220264
366;334108.318;1220264
367;334104.256;1220263
368;334100.114;1220262
369;334095.939;1220262
370;334091.718;1220261
371;334087.409;1220261
372;334083.236;1220260
373;334079.063;1220260
374;334074.736;1220260
375;334070.553;1220260
376;334066.381;1220260
377;334062.161;1220260
378;334057.874;1220260
379;334053.722;1220260
380;334049.406;1220260
381;334045.199;1220261
382;334041.049;1220261
383;334036.876;1220262
384;334032.565;1220262
385;334028.451;1220263
386;334024.320;1220264
387;334020.207;1220265
388;334016.112;1220266
389;334011.981;1220266
390;334007.888;1220267
391;334003.793;1220268
392;333999.682;1220269
393;333995.588;1220270
394;333991.512;1220271
395;333987.418;1220272
396;333983.307;1220273
397;333979.212;1220274
398;333975.119;1220275
399;333971.025;1220276
400;333966.913;1220277
401;333962.880;1220278
402;333958.871;1220279
403;333954.741;1220280
404;333950.611;1220282
405;333946.482;1220283
406;333942.515;1220283
407;333938.367;1220285
408;333934.288;1220286
409;333930.234;1220287
410;333926.067;1220288
411;333922.050;1220289
412;333917.898;1220290
413;333913.913;1220291
414;333909.760;1220292
415;333905.708;1220293
416;333901.523;1220294
417;333897.469;1220295
418;333893.354;1220296
419;333889.206;1220297
420;333885.220;1220298
421;333881.035;1220298
422;333876.913;1220299
423;333872.790;1220300
424;333868.709;1220301
425;333864.472;1220301
426;333860.399;1220302
427;333856.244;1220303
428;333851.984;1220303
429;333847.832;1220303
430;333843.680;1220304
431;333839.492;1220304
432;333835.304;1220304
433;333831.081;1220304
434;333826.857;1220303
435;333822.633;1220303
436;333818.556;1220303
437;333814.377;1220302
438;333810.217;1220301
439;333806.104;1220301
440;333802.006;1220300
441;333797.781;1220299
442;333793.726;1220298
443;333789.671;1220297
444;333785.616;1220296
445;333781.561;1220295
446;333777.385;1220294
447;333773.251;1220293
448;333769.179;1220291
449;333765.074;1220291
450;333760.888;1220290
451;333756.834;1220289
452;333752.601;1220288
453;333748.504;1220287
454;333744.309;1220286
455;333740.114;1220286
456;333735.972;1220285
457;333731.707;1220285
458;333727.526;1220285
459;333723.324;1220284
460;333719.036;1220284
461;333714.874;1220284
462;333710.628;1220284
463;333706.386;1220284
464;333702.217;1220284
465;333697.921;1220285
466;333693.723;1220285
467;333689.496;1220285
468;333685.382;1220286
469;333681.087;1220286
470;333676.975;1220287
471;333672.847;1220288
472;333668.553;1220288
473;333664.458;1220289
474;333660.347;1220290
475;333656.236;1220291
476;333652.143;1220292
477;333648.033;1220293
478;333643.940;1220294
479;333639.988;1220295
480;333635.955;1220297
481;333631.927;1220298
482;333627.986;1220300
483;333624.063;1220301
484;333620.232;1220303
485;333616.416;1220305
486;333612.585;1220306
487;333608.786;1220308
488;333604.971;1220310
489;333601.397;1220312
490;333597.838;1220315
491;333594.169;1220317
492;333590.536;1220319
493;333587.006;1220321
494;333583.491;1220323
495;333579.991;1220326
496;333576.504;1220328
497;333572.878;1220330
498;333569.370;1220332
499;333565.739;1220335
500;333562.219;1220337
501;333558.560;1220339
502;333554.932;1220341
503;333551.129;1220343
504;333547.485;1220345
505;333543.727;1220347
506;333540.045;1220349
507;333536.251;1220350
508;333532.473;1220352
509;333528.695;1220354
510;333524.749;1220356
511;333520.963;1220357
512;333517.007;1220359
513;333513.051;1220360
514;333509.113;1220361
515;333505.156;1220363
516;333501.047;1220364
517;333497.113;1220365
518;333493.135;1220367
519;333489.068;1220368
520;333485.077;1220369
521;333481.059;1220370
522;333477.001;1220371
523;333473.049;1220373
524;333468.944;1220374
525;333465.014;1220375
526;333460.884;1220376
527;333456.754;1220377
528;333452.724;1220378
529;333448.677;1220379
530;333444.528;1220380
531;333440.555;1220381
532;333436.414;1220383
533;333432.327;1220384
534;333428.318;1220384
535;333424.188;1220386
536;333420.039;1220386
537;333416.052;1220387
538;333411.960;1220388
539;333407.811;1220389
540;333403.662;1220390
541;333399.512;1220391
542;333395.362;1220391
543;333391.194;1220392
544;333387.044;1220393
545;333382.875;1220394
546;333378.725;1220394
547;333374.575;1220395
548;333370.424;1220395
549;333366.273;1220396
550;333362.122;1220396
551;333357.972;1220397
552;333353.697;1220398
553;333349.542;1220398
554;333345.383;1220399
555;333341.131;1220399
556;333336.943;1220400
557;333332.739;1220400
558;333328.624;1220401
559;333324.366;1220401
560;333320.195;1220402
561;333316.044;1220402
562;333311.893;1220403
563;333307.743;1220403
564;333303.592;1220404
565;333299.423;1220404
566;333295.236;1220405
567;333291.067;1220406
568;333286.880;1220406
569;333282.675;1220407
570;333278.452;1220407
571;333274.346;1220408
572;333270.206;1220409
573;333265.982;1220409
574;333261.922;1220410
575;333257.681;1220410
576;333253.504;1220411
577;333249.361;1220411
578;333245.228;1220412
579;333241.023;1220412
580;333236.945;1220413
581;333232.706;1220413
582;333228.571;1220414
583;333224.395;1220414
584;333220.465;1220415
585;333216.281;1220415
586;333212.166;1220416
587;333207.936;1220416
588;333203.772;1220417
589;333199.606;1220417
590;333195.414;1220417
591;333191.134;1220418
592;333187.055;1220418
593;333182.793;1220418
594;333178.531;1220418
595;333174.388;1220419
596;333170.190;1220419
597;333165.929;1220419
598;333161.696;1220419
599;333157.568;1220419
600;333153.288;1220419
601;333149.132;1220419
602;333144.909;1220420
603;333140.652;1220420
604;333136.548;1220420
605;333132.249;1220420
606;333128.070;1220420
607;333123.870;1220420
608;333119.589;1220420
609;333115.472;1220420
610;333111.208;1220420
611;333107.006;1220420
612;333102.809;1220420
613;333098.671;1220420
614;333094.428;1220419
615;333090.171;1220419
616;333086.028;1220419
617;333081.835;1220419
618;333077.608;1220418
619;333073.482;1220418
620;333069.214;1220418
621;333065.089;1220418
622;333060.861;1220417
623;333056.688;1220417
624;333052.387;1220417
625;333048.273;1220416
626;333044.022;1220416
627;333039.903;1220416
