num;coord_y;coord_x
355;1220273;334154
356;1220272;334150
357;1220271;334146
358;1220270;334142
359;1220269;334137
360;1220268;334133
361;1220267;334129
362;1220267;334125
363;1220266;334121
364;1220265;334117
365;1220264;334113
366;1220264;334108
367;1220263;334104
368;1220262;334100
369;1220262;334096
370;1220261;334092
371;1220261;334087
372;1220260;334083
373;1220260;334079
374;1220260;334075
375;1220260;334071
376;1220260;334066
377;1220260;334062
378;1220260;334058
379;1220260;334054
380;1220260;334049
381;1220261;334045
382;1220261;334041
383;1220262;334037
384;1220262;334033
385;1220263;334028
386;1220264;334024
387;1220265;334020
388;1220266;334016
389;1220266;334012
390;1220267;334008
391;1220268;334004
392;1220269;334000
393;1220270;333996
394;1220271;333992
395;1220272;333987
396;1220273;333983
397;1220274;333979
398;1220275;333975
399;1220276;333971
400;1220277;333967
401;1220278;333963
402;1220279;333959
403;1220280;333955
404;1220282;333951
405;1220283;333946
406;1220283;333943
407;1220285;333938
408;1220286;333934
409;1220287;333930
410;1220288;333926
411;1220289;333922
412;1220290;333918
413;1220291;333914
414;1220292;333910
415;1220293;333906
416;1220294;333902
417;1220295;333897
418;1220296;333893
419;1220297;333889
420;1220298;333885
421;1220298;333881
422;1220299;333877
423;1220300;333873
424;1220301;333869
425;1220301;333864
426;1220302;333860
427;1220303;333856
428;1220303;333852
429;1220303;333848
430;1220304;333844
431;1220304;333839
432;1220304;333835
433;1220304;333831
434;1220303;333827
435;1220303;333823
436;1220303;333819
437;1220302;333814
438;1220301;333810
439;1220301;333806
440;1220300;333802
441;1220299;333798
442;1220298;333794
443;1220297;333790
444;1220296;333786
445;1220295;333782
446;1220294;333777
447;1220293;333773
448;1220291;333769
449;1220291;333765
450;1220290;333761
451;1220289;333757
452;1220288;333753
453;1220287;333749
454;1220286;333744
455;1220286;333740
456;1220285;333736
457;1220285;333732
458;1220285;333728
459;1220284;333723
460;1220284;333719
461;1220284;333715
462;1220284;333711
463;1220284;333706
464;1220284;333702
465;1220285;333698
466;1220285;333694
467;1220285;333689
468;1220286;333685
469;1220286;333681
470;1220287;333677
471;1220288;333673
472;1220288;333669
473;1220289;333664
474;1220290;333660
475;1220291;333656
476;1220292;333652
477;1220293;333648
478;1220294;333644
479;1220295;333640
480;1220297;333636
481;1220298;333632
482;1220300;333628
483;1220301;333624
484;1220303;333620
485;1220305;333616
486;1220306;333613
487;1220308;333609
488;1220310;333605
489;1220312;333601
490;1220315;333598
491;1220317;333594
492;1220319;333591
493;1220321;333587
494;1220323;333583
495;1220326;333580
496;1220328;333577
497;1220330;333573
498;1220332;333569
499;1220335;333566
500;1220337;333562
501;1220339;333559
502;1220341;333555
503;1220343;333551
504;1220345;333547
505;1220347;333544
506;1220349;333540
507;1220350;333536
508;1220352;333532
509;1220354;333529
510;1220356;333525
511;1220357;333521
512;1220359;333517
513;1220360;333513
514;1220361;333509
515;1220363;333505
516;1220364;333501
517;1220365;333497
518;1220367;333493
519;1220368;333489
520;1220369;333485
521;1220370;333481
522;1220371;333477
523;1220373;333473
524;1220374;333469
525;1220375;333465
526;1220376;333461
527;1220377;333457
528;1220378;333453
529;1220379;333449
530;1220380;333445
531;1220381;333441
532;1220383;333436
533;1220384;333432
534;1220384;333428
535;1220386;333424
536;1220386;333420
537;1220387;333416
538;1220388;333412
539;1220389;333408
540;1220390;333404
541;1220391;333400
542;1220391;333395
543;1220392;333391
544;1220393;333387
545;1220394;333383
546;1220394;333379
547;1220395;333375
548;1220395;333370
549;1220396;333366
550;1220396;333362
551;1220397;333358
552;1220398;333354
553;1220398;333350
554;1220399;333345
555;1220399;333341
556;1220400;333337
557;1220400;333333
558;1220401;333329
559;1220401;333324
560;1220402;333320
561;1220402;333316
562;1220403;333312
563;1220403;333308
564;1220404;333304
565;1220404;333299
566;1220405;333295
567;1220406;333291
568;1220406;333287
569;1220407;333283
570;1220407;333278
