numeros,Coord_x,Coord_y
354,474527,1098448
355,474523,1098447
356,474519,1098447
357,474515,1098447
358,474510,1098446
359,474506,1098446
360,474502,1098446
361,474498,1098445
362,474494,1098445
363,474489,1098445
364,474485,1098444
365,474481,1098444
366,474477,1098444
367,474473,1098443
368,474468,1098443
369,474464,1098443
370,474460,1098442
371,474456,1098442
372,474452,1098442
373,474448,1098442
374,474443,1098441
375,474439,1098441
376,474435,1098441
377,474431,1098440
378,474427,1098440
379,474422,1098440
380,474418,1098439
381,474414,1098439
382,474410,1098439
383,474406,1098438
384,474401,1098438
385,474397,1098438
386,474393,1098437
387,474389,1098437
388,474385,1098437
389,474381,1098436
390,474376,1098436
391,474372,1098436
392,474368,1098435
393,474364,1098435
394,474360,1098434
395,474355,1098434
396,474351,1098434
397,474347,1098433
398,474343,1098433
399,474339,1098433
400,474334,1098433
401,474330,1098432
402,474326,1098432
403,474322,1098431
404,474318,1098431
405,474313,1098431
406,474309,1098430
407,474305,1098430
408,474301,1098430
409,474297,1098429
410,474292,1098429
411,474288,1098429
412,474284,1098428
413,474280,1098428
414,474276,1098428
415,474271,1098428
416,474267,1098427
417,474263,1098427
418,474259,1098426
419,474255,1098426
420,474251,1098426
421,474246,1098426
422,474242,1098425
423,474238,1098425
424,474234,1098424
425,474230,1098424
426,474225,1098423
427,474221,1098423
428,474217,1098422
429,474213,1098422
430,474209,1098422
431,474205,1098422
432,474200,1098422
433,474196,1098422
434,474192,1098421
435,474188,1098421
436,474184,1098421
437,474179,1098421
438,474175,1098420
439,474171,1098420
440,474167,1098420
441,474162,1098419
442,474158,1098419
443,474154,1098419
444,474150,1098418
445,474146,1098418
446,474142,1098418
447,474138,1098417
448,474133,1098417
449,474129,1098417
450,474125,1098417
451,474121,1098416
452,474117,1098416
453,474112,1098415
454,474108,1098415
455,474104,1098415
456,474100,1098415
457,474096,1098414
458,474092,1098414
459,474087,1098414
460,474083,1098413
461,474079,1098413
462,474075,1098413
463,474070,1098412
464,474066,1098412
465,474062,1098412
466,474058,1098411
467,474054,1098411
468,474050,1098411
469,474045,1098410
470,474041,1098410
471,474037,1098410
472,474033,1098409
473,474029,1098409
474,474024,1098408
475,474020,1098408
476,474016,1098408
477,474012,1098408
478,474008,1098407
479,474003,1098407
480,473999,1098407
481,473995,1098406
482,473991,1098406
483,473987,1098406
484,473983,1098406
485,473978,1098405
486,473974,1098405
487,473970,1098405
488,473966,1098404
489,473962,1098404
490,473957,1098404
491,473953,1098403
492,473949,1098403
493,473945,1098403
494,473941,1098402
495,473936,1098402
496,473932,1098402
497,473928,1098401
498,473924,1098401
499,473920,1098400
500,473916,1098400
501,473911,1098400
502,473907,1098399
503,473903,1098399
504,473899,1098398
505,473895,1098397
506,473890,1098397
507,473886,1098396
508,473882,1098396
509,473878,1098395
510,473874,1098394
511,473870,1098394
512,473865,1098393
513,473861,1098392
514,473857,1098391
515,473853,1098390
516,473849,1098389
517,473845,1098387
518,473841,1098386
519,473837,1098385
520,473833,1098383
521,473829,1098382
522,473825,1098380
523,473821,1098379
524,473818,1098377
525,473814,1098376
526,473810,1098374
527,473806,1098372
528,473804,1098371
529,473802,1098370
530,473798,1098368
531,473795,1098367
532,473791,1098365
533,473787,1098363
534,473784,1098360
535,473780,1098358
536,473777,1098356
537,473773,1098353
538,473770,1098351
539,473768,1098350
540,473768,1098350
541,473766,1098348
542,473763,1098346
543,473760,1098343
544,473756,1098341
545,473753,1098338
546,473750,1098336
547,473746,1098333
548,473743,1098330
549,473740,1098328
550,473737,1098325
551,473734,1098322
552,473731,1098319
553,473728,1098316
554,473725,1098313
555,473722,1098310
556,473719,1098307
557,473716,1098304
558,473714,1098301
559,473711,1098297
560,473708,1098294
561,473705,1098291
562,473703,1098288
563,473700,1098284
564,473698,1098281
565,473695,1098277
566,473693,1098274
567,473690,1098271
568,473688,1098267
569,473686,1098264
570,473684,1098260
571,473681,1098256
572,473679,1098253
573,473677,1098249
574,473675,1098245
575,473673,1098242
576,473671,1098238
577,473670,1098234
578,473668,1098230
579,473666,1098226
580,473664,1098223
581,473663,1098219
582,473661,1098215
583,473660,1098211
584,473658,1098207
585,473657,1098203
586,473656,1098199
587,473654,1098195
588,473653,1098191
589,473652,1098187
590,473650,1098183
591,473649,1098179
592,473648,1098175
593,473646,1098171
594,473645,1098167
595,473644,1098163
596,473642,1098159
597,473641,1098155
598,473640,1098151
599,473639,1098147
600,473637,1098143
601,473636,1098139
602,473635,1098135
603,473633,1098131
604,473632,1098127
605,473631,1098123
606,473629,1098119
607,473628,1098116
608,473627,1098111
609,473625,1098107
610,473624,1098104
611,473623,1098100
612,473621,1098096
613,473620,1098092
614,473619,1098088
615,473617,1098084
616,473616,1098079
617,473615,1098075
618,473614,1098072
619,473613,1098067
620,473612,1098063
621,473610,1098059
622,473610,1098055
623,473609,1098051
624,473608,1098047
625,473607,1098043
626,473606,1098039
627,473606,1098034
628,473605,1098030
629,473605,1098026
630,473604,1098022
631,473604,1098018
632,473604,1098014
633,473604,1098009
634,473603,1098005
635,473603,1098001
636,473603,1097997
637,473603,1097992
638,473603,1097988
639,473603,1097984
640,473603,1097980
641,473603,1097976
642,473604,1097972
643,473604,1097967
644,473604,1097963
645,473604,1097959
646,473604,1097955
647,473604,1097950
648,473604,1097946
649,473604,1097942
650,473605,1097938
651,473605,1097934
652,473605,1097930
653,473605,1097925
654,473605,1097921
655,473606,1097917
656,473606,1097913
657,473606,1097909
658,473606,1097905
659,473606,1097900
660,473607,1097896
661,473607,1097892
662,473607,1097888
663,473607,1097884
664,473607,1097879
665,473608,1097875
666,473608,1097871
667,473608,1097867
668,473608,1097863
669,473608,1097859
670,473608,1097854
671,473609,1097850
672,473609,1097846
673,473609,1097842
674,473609,1097838
675,473609,1097833
676,473610,1097829
677,473610,1097825
678,473610,1097821
679,473610,1097817
680,473611,1097813
681,473611,1097809
682,473611,1097804
683,473611,1097800
684,473612,1097796
685,473612,1097792
686,473612,1097788
687,473612,1097783
688,473612,1097779
689,473613,1097775
690,473613,1097771
691,473613,1097767
692,473613,1097762
693,473613,1097758
694,473613,1097754
695,473614,1097750
696,473614,1097746
697,473614,1097742
698,473614,1097737
699,473615,1097733
700,473615,1097729
701,473615,1097725
702,473615,1097721
703,473615,1097717
704,473616,1097712
705,473616,1097708
706,473616,1097704
707,473616,1097700
708,473617,1097696
709,473617,1097692
710,473617,1097687
711,473617,1097683
712,473617,1097679
713,473618,1097675
714,473618,1097671
715,473618,1097666
716,473618,1097662
717,473618,1097658
718,473619,1097654
719,473619,1097650
720,473619,1097646
721,473619,1097642
722,473619,1097637
723,473619,1097633
724,473619,1097629
725,473619,1097625
726,473619,1097621
727,473619,1097616
728,473619,1097612
729,473620,1097608
730,473620,1097604
731,473620,1097600
732,473620,1097596
733,473620,1097591
734,473620,1097587
735,473620,1097583
736,473620,1097579
737,473620,1097575
738,473620,1097570
739,473620,1097566
740,473620,1097562
741,473620,1097558
742,473620,1097554
743,473620,1097549
744,473620,1097545
745,473620,1097541
746,473620,1097537
747,473620,1097533
748,473620,1097528
749,473620,1097524
750,473620,1097520
751,473620,1097516
752,473620,1097512
753,473620,1097508
754,473619,1097503
755,473619,1097499
756,473619,1097495
757,473619,1097491
758,473619,1097487
759,473619,1097482
760,473619,1097478
761,473619,1097474
762,473619,1097470
763,473619,1097466
764,473619,1097461
765,473619,1097457
766,473619,1097453
767,473618,1097449
768,473618,1097445
769,473618,1097440
770,473618,1097436
771,473618,1097432
772,473618,1097428
773,473618,1097424
774,473618,1097419
775,473618,1097415
776,473617,1097411
777,473617,1097407
778,473617,1097403
779,473616,1097399
780,473616,1097394
781,473616,1097390
782,473615,1097386
783,473615,1097382
784,473614,1097378
785,473613,1097374
786,473613,1097370
787,473612,1097365
788,473611,1097361
789,473611,1097357
790,473610,1097353
791,473609,1097349
792,473608,1097345
793,473607,1097341
794,473606,1097337
795,473605,1097333
796,473604,1097329
797,473603,1097325
798,473602,1097321
799,473601,1097316
800,473600,1097312
801,473599,1097308
802,473597,1097304
803,473596,1097300
804,473595,1097296
805,473594,1097292
806,473592,1097288
807,473591,1097284
808,473590,1097280
809,473589,1097277
810,473587,1097272
811,473586,1097268
812,473584,1097265
813,473583,1097261
814,473582,1097257
815,473580,1097253
816,473579,1097249
817,473578,1097245
818,473576,1097241
819,473575,1097237
820,473573,1097233
821,473572,1097229
822,473571,1097225
823,473570,1097221
824,473568,1097217
825,473567,1097213
826,473566,1097209
827,473564,1097205
828,473563,1097201
829,473561,1097197
830,473560,1097193
831,473555,1097188
832,473549,1097160
833,473529,1097084
834,473523,1097056
835,473523,1097056
836,473522,1097052
837,473522,1097047
838,473522,1097043
839,473522,1097039
840,473523,1097035
841,473523,1097030
842,473523,1097026
843,473523,1097022
844,473523,1097018
845,473524,1097014
846,473524,1097009
847,473524,1097005
848,473524,1097001
849,473525,1096997
850,473525,1096993
851,473526,1096988
852,473526,1096984
853,473526,1096980
854,473526,1096976
855,473527,1096972
856,473527,1096967
857,473527,1096963
858,473528,1096959
859,473528,1096955
860,473528,1096951
861,473529,1096947
862,473529,1096942
863,473529,1096938
864,473530,1096934
865,473530,1096930
866,473531,1096926
867,473531,1096921
868,473531,1096917
869,473532,1096913
870,473532,1096909
871,473533,1096905
872,473533,1096901
873,473533,1096896
874,473534,1096892
875,473534,1096888
876,473535,1096884
877,473535,1096880
878,473536,1096876
879,473536,1096871
880,473537,1096867
881,473537,1096863
882,473537,1096859
883,473538,1096855
884,473538,1096850
885,473539,1096846
886,473539,1096842
887,473540,1096838
888,473540,1096834
889,473540,1096829
890,473541,1096825
891,473541,1096821
892,473541,1096817
893,473542,1096813
894,473542,1096809
895,473542,1096804
896,473543,1096800
897,473543,1096796
898,473543,1096792
899,473544,1096788
900,473544,1096784
901,473545,1096779
902,473545,1096775
903,473546,1096771
904,473546,1096767
905,473546,1096763
906,473547,1096759
907,473547,1096755
908,473548,1096750
909,473548,1096746
910,473548,1096732
911,473548,1096725
